AnbieterID;Anbieter;Web;Tarif;Roaming;Grundgebuehr;Zusatzgebuehr;kwAC;kwDC;rkwAC;rkwDC;ladenAC;ladenDC;Lokation;Zugangsart;Zahlungszyklus;Zahlungsart;Laender;
000001;ADAC;www.adac.de;ADAC e-Charge;EnBW;0.0;0.0;0.38;0.48;0.42;0.52;1;1;0;Ladekarte, App;monatlich;Kreditkarte, Lastschrift;Deutschland, Österreich, Schweiz, Frankreich, Italien, Niederlande ;
000002;BMW;www.bmw.de;BMW Charing;Verschiedene;4.99;0.0;0.33;0.39;0;0;1;1;0;Ladekarte, App;monatlich;Rechnung;Deutschland;
000003;EnBW;www.enbw.com;Standard;Verschiedene;0.0;0.0;0.45;0.55;0.79;0.79;1;1;0;Ladekarte, App;monatlich;Rechnung, Kreditkarte, Lastschrift;Deutschland, Österreich, Schweiz, Frankreich, Italien, Niederlande ;
000004;Maingau Energie;www.maingau-energie.de;Maingau Energie;Ionity;0.0;0.10;0.38;0.48;0.72;0.72;1;1;0;Ladekarte, App, Chip;monatlich;Rechnung;Deutschland, Österreich, Schweiz, Frankreich, Italien, Niederlande, Dänemark, Schweden, Belgien;
000005;EON;www.eon.de;E.ON Drive easy;Verschiedene;4.99;0.0;0.39;0.49;0.49;0.60;1;1;0;App;monatlich;Rechnung;Deutschland, Österreich, Schweiz, Niederlande, Dänemark;
000006;New Motion;www.newmotion.com;New Motion;Verschiedene;0.0;7.00;0.46;0.59;0.48;0.64;1;1;0;Ladekarte, App;monatlich;Rechnung;Deutschland, Frankreich, Belgien, Niederlande, Italien, Österreich, Großbritanien;
000007;Dresdner Stadtwerke, DREWAG;www.drewag.de/emobil;eCharging, eRoaming;Verschiedene;0.0;0.0;0.35;0.35;0.0;0.0;1;1;0;Ladekarte, App;monatlich;Kreditkarte;Deutschland;
000008;Stadtwerke Düsseldorf;www.swd-ag.de;Düsseldorf mobil;Verschiedene;0.0;0.0;0.39;0.49;0.39;0.59;1;1;0;Ladekarte, App;quartalsweise;Kreditkarte, Lastschrift;Deutschland;
000009;Stadtwerke München;www.swm.de;Stadtwerke München;Verschiedene;0.0;0.0;0.38;0.38;0.0;0.0;1;1;0;Ladekarte, App, QR-Code;quartalsweise;Rechnung, Kreditkarte, Direktzahlung;Deutschland;
000010;Stromnetz Hamburg;www.e-charging-hamburg.de;Stromnetz Hamburg;nein;0.0;2.06;0.32;0.32;0.0;0.0;1;1;0;App, SMS, RFID;Sofort;Kreditkarte, SMS;Hamburg;
000011;IONITY;www.ionity.eu;Ionity Direkt;Verschiedene;0.0;0.0;0.79;0.79;0.79;0.79;1;1;0;App, QR-Code;Sofort;Kreditkarte;Deutschland, Österreich, Schweiz, Niederlande, Dänemark, Belgien, Estland, Großbritannien, Irland, Italien, Polen, Schweden, Spanien;
000012;Lichtblick;www.lichtblick.de;Fahrstrom;Verschiedene;9.95;0.89;0.55;0.75;0.55;0.79;1;1;0;Ladekarte, App;monatlich;Lastschrift;Deutschland, Österreich, Schweiz, Niederlande, Dänemark;
000013;Fastned;www.fastned.com;Fastned Standard;Verschiedene;0.0;0.0;0.69;0.69;0.69;0.69;1;1;0;App;monatlich;Kreditkarte;Deutschland, Schweiz, Niederlande, Belgien, Frankreich, Großbritannien;
000014;Elvah;www.elvah.de/plans;Elvah Basis;Verschiedene;5.00;0.0;0.54;0.69;0.54;0.69;1;1;0;App;monatlich;Kreditkarte;Deutschland, Schweiz, Niederlande, Belgien, Frankreich, Italien, Spanien;
